"","word","category","lexical_class"
"532","old","descriptive_words","adjectives"
"533","poor","descriptive_words","adjectives"
"534","pretty","descriptive_words","adjectives"
"535","quiet","descriptive_words","adjectives"
"536","red","descriptive_words","adjectives"
"537","sad","descriptive_words","adjectives"
"538","scared","descriptive_words","adjectives"
"539","sick","descriptive_words","adjectives"
"540","sleepy","descriptive_words","adjectives"
"541","slow","descriptive_words","adjectives"
"542","soft","descriptive_words","adjectives"
"543","sticky","descriptive_words","adjectives"
"544","stuck","descriptive_words","adjectives"
"545","thirsty","descriptive_words","adjectives"
"546","tiny","descriptive_words","adjectives"
"547","tired","descriptive_words","adjectives"
"548","wet","descriptive_words","adjectives"
"549","white","descriptive_words","adjectives"
"550","windy","descriptive_words","adjectives"
"551","yellow","descriptive_words","adjectives"
"552","yucky","descriptive_words","adjectives"
"553","after","time_words","other"
"554","before","time_words","other"
"555","day","time_words","other"
"556","later","time_words","other"
"557","morning","time_words","other"
"558","night","time_words","other"
"559","now","time_words","other"
"560","time","time_words","other"
"561","today","time_words","other"
"562","tomorrow","time_words","other"
"563","tonight","time_words","other"
"564","yesterday","time_words","other"
"565","he","pronouns","function_words"
"566","her","pronouns","function_words"
"567","hers","pronouns","function_words"
"568","him","pronouns","function_words"
"569","his","pronouns","function_words"
"570","I","pronouns","function_words"
"571","it","pronouns","function_words"
"572","me","pronouns","function_words"
"573","mine","pronouns","function_words"
"574","my","pronouns","function_words"
"575","myself","pronouns","function_words"
"576","our","pronouns","function_words"
"577","she","pronouns","function_words"
"578","that","pronouns","function_words"
"579","their","pronouns","function_words"
"580","them","pronouns","function_words"
"581","these","pronouns","function_words"
"582","they","pronouns","function_words"
"583","this","pronouns","function_words"
"584","those","pronouns","function_words"
"585","us","pronouns","function_words"
"586","we","pronouns","function_words"
"587","you","pronouns","function_words"
"588","your","pronouns","function_words"
"589","yourself","pronouns","function_words"
"590","how","question_words","function_words"
"591","what","question_words","function_words"
"592","when","question_words","function_words"
"593","where","question_words","function_words"
"594","which","question_words","function_words"
"595","who","question_words","function_words"
"596","why","question_words","function_words"
"597","about","locations","function_words"
"598","above","locations","function_words"
"599","around","locations","function_words"
"600","at","locations","function_words"
"601","away","locations","function_words"
"602","back","locations","function_words"
"603","behind","locations","function_words"
"604","beside","locations","function_words"
"605","by","locations","function_words"
"606","down","locations","function_words"
"607","for","locations","function_words"
"608","here","locations","function_words"
"609","inside","locations","function_words"
"610","into","locations","function_words"
"611","next to","locations","function_words"
"612","of","locations","function_words"
"613","off","locations","function_words"
"614","on","locations","function_words"
"615","on top of","locations","function_words"
"616","out","locations","function_words"
"617","over","locations","function_words"
"618","there","locations","function_words"
"619","to","locations","function_words"
"620","under","locations","function_words"
"621","up","locations","function_words"
"622","with","locations","function_words"
"623","a","quantifiers","function_words"
"624","all","quantifiers","function_words"
"625","a lot","quantifiers","function_words"
"626","an","quantifiers","function_words"
"627","another","quantifiers","function_words"
"628","any","quantifiers","function_words"
"629","each","quantifiers","function_words"
"630","every","quantifiers","function_words"
"631","more","quantifiers","function_words"
"632","much","quantifiers","function_words"
"633","none","quantifiers","function_words"
"634","not","quantifiers","function_words"
"635","other","quantifiers","function_words"
"636","same","quantifiers","function_words"
"637","some","quantifiers","function_words"
"638","the","quantifiers","function_words"
"639","too","quantifiers","function_words"
"640","am","helping_verbs","function_words"
"641","are","helping_verbs","function_words"
"642","be","helping_verbs","function_words"
"643","could","helping_verbs","function_words"
"644","did","helping_verbs","function_words"
"645","do","helping_verbs","function_words"
"646","does","helping_verbs","function_words"
"647","dont","helping_verbs","function_words"
"648","gonna","helping_verbs","function_words"
"649","gotta","helping_verbs","function_words"
"650","hafta","helping_verbs","function_words"
"651","is","helping_verbs","function_words"
"652","lemme","helping_verbs","function_words"
"653","need","helping_verbs","function_words"
"654","try","helping_verbs","function_words"
