,word,category,lexical_class,period0,period1,period2,period3,period4,period5,period6,period7,period8,period9,period10
530,garden,outside,nouns,0.1474427653476596,0.19710742849856616,0.19247805904597043,0.18076624535024166,0.20189502844586968,0.18906547874212265,0.21500656097196041,0.2285932802595198,0.1766331552527845,0.1218042679131031,0.13618688030462517
531,grass,outside,nouns,0.14535141428932546,0.11622993808446659,0.11400817520916462,0.13214344959706067,0.14766949425010303,0.17336595430970192,0.17019325848668815,0.19623916856944562,0.15565866511315107,0.15952772218734027,0.20285037483431792
532,hose,outside,nouns,0.0,0.21303019202314316,0.24816122399643065,0.18470936520025133,0.16625194102525712,0.18805622309446335,0.13306044502870032,0.267527649179101,0.24567670226097107,0.15498907919973134,0.26698818802833557
533,ladder,outside,nouns,0.17774289082735778,0.16653628977946938,0.20249526109546423,0.15872232302239067,0.22140548508614302,0.1766090739518404,0.19797830618917941,0.22026064470410348,0.23276313729584217,0.1716535256244242,0.1671215681359172
534,lawn_mower,outside,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,moon,outside,nouns,0.1609034590423107,0.1952499821782112,0.18412436035118604,0.15677162446081638,0.17171660289168358,0.20051181875169277,0.2420692231506109,0.17608866835944353,0.17509257271885872,0.17298052348196508,0.18628256469964982
536,pool,outside,nouns,0.16401616170218117,0.18474294506013395,0.16983660580590368,0.1806794125586748,0.1619916267693043,0.17683724258095027,0.16288029514253138,0.14052202850580214,0.12432843456044793,0.1256400106474757,0.1635878193192184
537,rain,outside,nouns,0.1477629450149834,0.10505764223635197,0.12629235202544614,0.10329133295454085,0.14167054314166308,0.10301116726508266,0.15162754692137242,0.07148430570960045,0.18599248109385372,0.09917004504486134,0.12847705907188356
538,rock,outside,nouns,0.09635448129847646,0.11708271483841695,0.10140042556449771,0.10684041772037745,0.12469254826244555,0.12998645761981606,0.1628247655928135,0.1445285253226757,0.08314175511661329,0.08727586399763823,0.12267453079111874
539,roof,outside,nouns,0.16388110015541316,0.2477905686944723,0.17370857317000626,0.2047318469733,0.20571676287800073,0.17133817207068205,0.22793241143226622,0.1906686782836914,0.24870534017682075,0.20349437026306988,0.17788490802049636
540,sandbox,outside,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
541,shovel,outside,nouns,0.15153573875625928,0.1836027012206614,0.1467099261470139,0.15918212961405515,0.1482121338577647,0.11540880442286532,0.13719913010534487,0.0,0.1184394576243664,0.1251964437775314,0.20675128139555454
542,sidewalk,outside,nouns,0.0,0.0,0.0,0.0,0.1512940961867571,0.0,0.0,0.0,0.0,0.1363383660558611,0.11224790505672756
543,sky,outside,nouns,0.23056806661188603,0.18787194918841124,0.1416026573628187,0.18317940682172776,0.1993648188188672,0.22104117572307586,0.23531552590429783,0.18385267350822687,0.19975290074944496,0.21387215815484523,0.16476477459073066
544,slide_(object),outside,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
545,snow,outside,nouns,0.1478242490659742,0.11728549972176552,0.13268251766107583,0.1324897320009768,0.1415863733738661,0.1785278644412756,0.184171735169366,0.10679480532074676,0.13437836463563144,0.13215091954916716,0.1968906729629165
546,snowman,outside,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
547,sprinkler,outside,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
548,star,outside,nouns,0.06524083409458399,0.04200703632086515,0.10001263708660477,0.09055143012665212,0.10653548887930811,0.07817330472171306,0.1239803669974208,0.0872151694726199,0.06329676182940602,0.09603627296164632,0.06948166657239199
549,stick,outside,nouns,0.20626971647143363,0.221129060536623,0.18992216551774427,0.20815807096660138,0.1746003859137234,0.1479672623798251,0.16198674589395523,0.19576812064961382,0.18821261413395404,0.21961522893980145,0.20792120341211556
550,stone,outside,nouns,0.0,0.1502028485073855,0.1527930086380557,0.10817438457161188,0.13879927834495903,0.142258359817788,0.12584037315100433,0.12978124860674142,0.15310224059503524,0.12005786933004856,0.1671040015295148
551,street,outside,nouns,0.13373429281637073,0.18303340300917625,0.13793425212957358,0.15492913974449038,0.20247479416429998,0.1849544271826744,0.1956588433124125,0.1836483297869563,0.20309960804879665,0.1591688644140959,0.1448259772732854
552,sun,outside,nouns,0.15389192206785082,0.2093737242743373,0.14543206038835801,0.18937293789349496,0.18322951719164848,0.18732275832444428,0.22843570532277227,0.14625672586262226,0.24925944916903972,0.21396682374179363,0.20868945959955454
553,swing_(object),outside,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554,tree,outside,nouns,0.2584475431591272,0.2351181368343532,0.21703360341489314,0.17532480247318744,0.17360321898013353,0.221275332942605,0.2455819746479392,0.20925099384039642,0.2601931098848581,0.204223493905738,0.19001184906810523
555,water_(not_beverage),outside,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
